link,date,summary
https://vtv.vn/xa-hoi/bac-bo-bac-trung-bo-dem-va-sang-som-co-mua-dong-va-suong-mu-20240405170900213.htm,05/04/2024,"Theo Trung tâm Dự báo khí tượng thủy văn Quốc gia, tối 5/4 và ngày 6/4, khu vực Bắc Bộ, Bắc Trung Bộ đêm và sáng sớm có mưa dông và sương mù."
https://vtv.vn/xa-hoi/lat-xe-dau-keo-tren-quoc-lo-279-3-nguoi-mac-ket-trong-cabin-20240405162705009.htm,05/04/2024,
https://vtv.vn/xa-hoi/tp-nha-trang-thong-tin-ve-vu-1-hoc-sinh-tu-vong-va-nhieu-em-nhap-vien-sau-bua-sang-20240405151422012.htm,05/04/2024,"Nha Trang xác nhận, đến nay có một học sinh tử vong và nhiều em khác có các triệu chứng nghi ngộ độc thực phẩm."
https://vtv.vn/xa-hoi/khu-dan-cu-ha-noi-moi-mon-cho-nuoc-sach-20240405143802007.htm,05/04/2024,"Hơn 200 hộ dân đã về sinh sống tại khu đất dịch vụ ở xã Vân Canh (Hoài Đức, Hà Nội) khoảng 5 năm nhưng đến nay vẫn không được cấp nước sạch."
https://vtv.vn/doi-song/cai-tao-chinh-trang-khu-vuc-ho-thien-quang-nguoi-dan-ky-vong-gia-tri-tu-khong-gian-mo-20240405104126141.htm,05/04/2024,"Khu vực hồ Thiền Quang những ngày gần đây được rào chắn, bắt đầu thi công một số hạng mục đầu tiên để chỉnh trang, cải tạo."
https://vtv.vn/xa-hoi/3-nguoi-di-xe-may-bi-lot-vao-gam-xe-container-20240405131311954.htm,05/04/2024,"Sau tiếng va chạm khủng khiếp, người dân nhìn ra đường thì thấy 3 người đi xe máy mắc kẹt dưới gầm xe container khóc gào, cầu cứu."
https://vtv.vn/xa-hoi/dao-gieng-duoi-day-song-de-lay-nuoc-sinh-hoat-20240405112132633.htm,05/04/2024,"Nắng nóng gay gắt và thời tiết cực đoan đã khiến nhiều hồ đập, sông suối tại tỉnh Bình Thuận bị cạn trơ đáy. Người dân phải tìm mọi cách để có nước sinh hoạt."
https://vtv.vn/xa-hoi/truy-tim-nhan-than-nam-gioi-tu-vong-o-bai-giua-song-hong-20240405125957653.htm,05/04/2024,"Tử thi được xác định là nam giới, khoảng 25-30 tuổi, đang trong tình trạng phân hủy mạnh."
https://vtv.vn/xa-hoi/khoi-dong-canh-dong-1-trieu-ha-lua-chat-luong-cao-o-dbscl-20240405115750679.htm,05/04/2024,"Sáng 5/4, tại TP Cần Thơ, Bộ NN&PTNT tổ chức khởi động cánh đồng 1 triệu ha lúa chất lượng cao, phát thải thấp vùng đồng bằng sông Cửu Long (ĐBSCL)."
https://vtv.vn/xa-hoi/to-chuc-dieu-binh-dieu-hanh-ky-niem-50-nam-ngay-truyen-thong-luc-luong-canh-sat-co-dong-20240405121336309.htm,05/04/2024,"Sáng 5/4, Cục Truyền thông Công an nhân dân phối hợp với Bộ tư lệnh Cảnh sát cơ động tổ chức Họp báo kỷ niệm 50 năm Ngày truyền thống lực lượng cảnh sát cơ động."
